source -> target
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/press/about
https://regex101.com/ -> https://regex101.com/static/assets/icon-16.png
https://regex101.com/ -> http://whatismarkdown.com/
https://regex101.com/ -> https://web.libera.chat/?nick=re101-booby-?&amp;chan=#regex
https://regex101.com/ -> https://github.com/firasdib/Regex101/wiki
https://regex101.com/ -> https://github.com/firasdib/Regex101/issues
https://regex101.com/ -> https://turnonjs.com
https://regex101.com/ -> https://twitter.com/regex101
https://regex101.com/ -> https://regex101.com/static/assets/favicon.ico
https://regex101.com/ -> https://regex101.com/static/assets/icon-152.png
https://regex101.com/ -> https://regex101.com/debugger
https://regex101.com/ -> https://regex101.com/static/assets/icon-114.png
https://regex101.com/ -> https://regex101.com/settings
https://regex101.com/ -> https://regex101.com/codegen?language=php
https://regex101.com/ -> http://browsehappy.com/
https://regex101.com/ -> https://regex101.com/static/assets/manifest.webmanifest
https://regex101.com/ -> https://regex101.com/static/assets/icon-96.png
https://regex101.com/ -> https://regex101.com/static/quickref.2c3113f06c479a67c60a.chunk.js
https://regex101.com/ -> https://regex101.com/account/mine
https://regex101.com/ -> https://regex101.com/static/assets/icon-76.png
https://regex101.com/ -> https://regex101.com/library
https://regex101.com/ -> https://regex101.com/static/assets/icon-192.png
https://regex101.com/ -> https://regex101.com/quiz
https://regex101.com/ -> https://regex101.com
https://regex101.com/ -> https://regex101.com/
https://regex101.com/ -> https://fonts.gstatic.com
https://regex101.com/ -> https://fonts.googleapis.com
https://regex101.com/ -> https://regex101.com/static/assets/icon-60.png
https://regex101.com/ -> https://regex101.com/static/653.6e679a10c3aae1d7e364.css
https://regex101.com/ -> mailto:contact@regex101.com
https://regex101.com/ -> https://github.com/sponsors/firasdib
https://regex101.com/ -> https://regex101.com/static/assets/icon-32.png
https://regex101.com/ -> https://regex101.com/static/assets/changelog.md
https://regex101.com/ -> https://www.paypal.com/cgi-bin/webscr?cmd=_donations&amp;business=firas%2edib%40gmail%2ecom&amp;lc=US&amp;item_name=Regex101&amp;no_note=0&amp;currency_code=USD&amp;bn=PP%2dDonationsBF%3abtn_donate_SM%2egif%3aNonHostedGuest
https://regex101.com/ -> https://fonts.googleapis.com/css2?family=Open+Sans:ital,wght@0,300;0,400;0,600;0,700;1,400&family=Source+Code+Pro:wght@400;500;700&display=swap
https://regex101.com/ -> https://regex101.com/static/bundle.5f9425999a8b7f94b3ae.css
https://regex101.com/ -> https://regex101.com/static/assets/icon-72.png
https://regex101.com/ -> https://regex101.com/static/assets/icon-120.png
https://regex101.com/ -> https://regex101.com/static/assets/icon-57.png
https://regex101.com/ -> https://regex101.com/static/assets/icon-144.png
https://regex101.com/ -> https://regex101.com/static/assets/icon-180.png
https://regex101.com/ -> https://www.doppler.com/?utm_campaign=github_repo&amp;utm_medium=referral&amp;utm_content=regex101&amp;utm_source=github
https://regex101.com/ -> https://regex101.com/static/assets/flavors.md
https://www.mediamatters.org/ -> https://www.mediamatters.org/matt-walsh/right-wing-media-want-doctors-imprisoned-treating-trans-youth-and-legislators-are
https://www.mediamatters.org/ -> https://www.mediamatters.org/
https://www.mediamatters.org/ -> https://www.mediamatters.org/2020-election-lawsuits/dominion-filings-show-fox-news-election-lies-buck-stops-murdochs
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/dominion-filings-expose-carlsons-qanon-deceit
https://www.mediamatters.org/ -> https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/ -> https://twitter.com/mmfa
https://www.mediamatters.org/ -> https://www.mediamatters.org/facebook/facebook-struggled-control-election-misinformation-2022-now-it-letting-trump-leader
https://www.mediamatters.org/ -> https://www.mediamatters.org/associated-press/right-wing-media-are-freaking-out-about-new-ap-stylebook-guidance-abortion-heres
https://www.mediamatters.org/ -> https://www.mediamatters.org/steve-bannon/newly-resurfaced-videos-show-additional-instances-steve-bannon-promoting-allegedly
https://www.mediamatters.org/ -> https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/ -> https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/att-starts-running-ads-fox-news-amid-dominion-mess-and-directv-newsmax-feud
https://www.mediamatters.org/ -> https://www.mediamatters.org/#twitter
